go_term	go_organelle	go_membrane_term	go_membrane_id
GO:0020022	acidocalcisome	intracellular membrane-bounded organelle	GO:0043231
GO:0001669	acrosomal vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0015629	actin cytoskeleton	intracellular non-membrane-bounded organelle	GO:0043232
GO:0098938	actin cytoskeleton of dendritic spine	intracellular non-membrane-bounded organelle	GO:0043232
GO:0098579	active sex chromosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0033095	aleurone grain	intracellular membrane-bounded organelle	GO:0043231
GO:0097208	alveolar lamellar body	intracellular membrane-bounded organelle	GO:0043231
GO:1990006	amorphous vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0044753	amphisome	intracellular membrane-bounded organelle	GO:0043231
GO:0009501	amyloplast	intracellular membrane-bounded organelle	GO:0043231
GO:0044222	anammoxosome	intracellular membrane-bounded organelle	GO:0043231
GO:0043079	antipodal cell nucleus	intracellular membrane-bounded organelle	GO:0043231
GO:0090653	apical recycling endosome	intracellular membrane-bounded organelle	GO:0043231
GO:0020011	apicoplast	intracellular membrane-bounded organelle	GO:0043231
GO:0097189	apoptotic body	extracellular membrane-bounded organelle	GO:0065010
GO:0098682	arciform density	intracellular non-membrane-bounded organelle	GO:0043232
GO:1905754	ascospore-type prospore nucleus	intracellular membrane-bounded organelle	GO:0043231
GO:0005633	ascus lipid droplet	intracellular non-membrane-bounded organelle	GO:0043232
GO:0005818	aster	intracellular non-membrane-bounded organelle	GO:0043232
GO:0033099	attachment organelle	intracellular membrane-bounded organelle	GO:0043231
GO:0044754	autolysosome	intracellular membrane-bounded organelle	GO:0043231
GO:0005776	autophagosome	intracellular membrane-bounded organelle	GO:0043231
GO:0030849	autosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0042582	azurophil granule	intracellular membrane-bounded organelle	GO:0043231
GO:0097691	bacterial extracellular vesicle	extracellular membrane-bounded organelle	GO:0065010
GO:0043590	bacterial nucleoid	intracellular non-membrane-bounded organelle	GO:0043232
GO:0061701	bacterial outer membrane vesicle	extracellular membrane-bounded organelle	GO:0065010
GO:0030075	bacterial thylakoid	intracellular non-membrane-bounded organelle	GO:0043232
GO:0043660	bacteroid-containing symbiosome	intracellular membrane-bounded organelle	GO:0043231
GO:0001740	Barr body	intracellular non-membrane-bounded organelle	GO:0043232
GO:0090654	basolateral recycling endosome	intracellular membrane-bounded organelle	GO:0043231
GO:0097727	blepharoplast	intracellular non-membrane-bounded organelle	GO:0043232
GO:0031470	carboxysome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0097512	cardiac myofibril	intracellular non-membrane-bounded organelle	GO:0043232
GO:0043702	carotenoid vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0032174	cellular bud neck septin collar	intracellular non-membrane-bounded organelle	GO:0043232
GO:0000144	cellular bud neck septin ring	intracellular non-membrane-bounded organelle	GO:0043232
GO:0032177	cellular bud neck split septin rings	intracellular non-membrane-bounded organelle	GO:0043232
GO:0043263	cellulosome	extracellular non-membrane-bounded organelle	GO:0043264
GO:0042807	central vacuole	intracellular membrane-bounded organelle	GO:0043231
GO:0005814	centriole	intracellular non-membrane-bounded organelle	GO:0043232
GO:0045009	chitosome	intracellular membrane-bounded organelle	GO:0043231
GO:0032166	chlamydospore septin filament array	intracellular non-membrane-bounded organelle	GO:0043232
GO:0009507	chloroplast	intracellular membrane-bounded organelle	GO:0043231
GO:0042648	chloroplast chromosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0042644	chloroplast nucleoid	intracellular non-membrane-bounded organelle	GO:0043232
GO:0043253	chloroplast ribosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0062247	chloroplast vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0046858	chlorosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0042583	chromaffin granule	intracellular membrane-bounded organelle	GO:0043231
GO:0033391	chromatoid body	intracellular non-membrane-bounded organelle	GO:0043232
GO:0010369	chromocenter	intracellular non-membrane-bounded organelle	GO:0043232
GO:0009509	chromoplast	intracellular membrane-bounded organelle	GO:0043231
GO:0005694	chromosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0097721	ciliary vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0005801	cis-Golgi network	intracellular membrane-bounded organelle	GO:0043231
GO:0045334	clathrin-coated endocytic vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0045336	clathrin-coated phagocytic vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0030136	clathrin-coated vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0060200	clathrin-sculpted acetylcholine transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0061200	clathrin-sculpted gamma-aminobutyric acid transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0060199	clathrin-sculpted glutamate transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0070081	clathrin-sculpted monoamine transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0060198	clathrin-sculpted vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0030135	coated vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0000793	condensed chromosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0000794	condensed nuclear chromosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0043292	contractile fiber	intracellular non-membrane-bounded organelle	GO:0043232
GO:0000331	contractile vacuole	intracellular membrane-bounded organelle	GO:0043231
GO:0062159	contractile vacuole complex	intracellular non-membrane-bounded organelle	GO:0043232
GO:0030142	COPI-coated Golgi to ER transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0030143	COPI-coated inter-Golgi transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0030137	COPI-coated vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0030134	COPII-coated ER to Golgi transport vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0030864	cortical actin cytoskeleton	intracellular non-membrane-bounded organelle	GO:0043232
GO:0030863	cortical cytoskeleton	intracellular non-membrane-bounded organelle	GO:0043232
GO:0060473	cortical granule	intracellular membrane-bounded organelle	GO:0043231
GO:0030981	cortical microtubule cytoskeleton	intracellular non-membrane-bounded organelle	GO:0043232
GO:0044312	crystalloid	intracellular non-membrane-bounded organelle	GO:0043232
GO:0033107	Cvt vesicle	intracellular membrane-bounded organelle	GO:0043231
GO:0009842	cyanelle	intracellular membrane-bounded organelle	GO:0043231
GO:0043701	cyanosome	intracellular membrane-bounded organelle	GO:0043231
GO:0044194	cytolytic granule	intracellular membrane-bounded organelle	GO:0043231
GO:0000229	cytoplasmic chromosome	intracellular non-membrane-bounded organelle	GO:0043232
GO:0036464	cytoplasmic ribonucleoprotein granule	intracellular non-membrane-bounded organelle	GO:0043232
GO:0010494	cytoplasmic stress granule	intracellular non-membrane-bounded organelle	GO:0043232
